"Record ID","Data Resource ID","Dataset name","Licence","Catalog Number","Taxon Concept ID","Scientific Name","Scientific name (intepreted)","Taxon rank","Common name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Institution Code","Collection Code","record _ number","Occurrence status","Longitude - original","Geodetic Datum","Decimal latitude (WGS84)","Decimal latitude (WGS84)","Coordinate uncertainty in metres","OSGR","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Locality","Individual count","Collector","Year","Month","Date","Basis Of Record - original","Basis of record","Sex","Data Resource ID","Dataset name"
"5683a465-2d98-4bcd-9311-93d142d8f12f","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297201","present","","","56.26692","-2.78866","100.0","NO512085","NO","NO50","NO50E","NO5108","United Kingdom","Scotland","Pittarthie Farm, upper pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"54c72ccb-e9d4-46a3-9c8c-5fc1e394c6d6","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","283179","present","","","53.19757","-1.30016","100.0","SK468669","SK","SK46","SK46T","SK4666","United Kingdom","England","Glapwell (landfill site)","","Merritt, R.","2001","02","2001-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"53760b6c-a97f-47c0-852f-24343e7c3407","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282461","present","","","53.38324","-0.79798","100.0","SK800880","SK","SK88","SK88E","SK8088","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"48d68acb-ee6b-4cb4-98fc-4876db25aa94","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297200","present","","","56.26692","-2.78866","100.0","NO512085","NO","NO50","NO50E","NO5108","United Kingdom","Scotland","Pittarthie Farm, upper pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"30442744-ffd0-48ac-be8b-06c46848c902","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","248688","present","","","52.01276","-0.76073","100.0","SP851356","SP","SP83","SP83M","SP8535","United Kingdom","England","Milton Keynes, Furzton Park, lake","","Brooke, S.; Nau, B.","2006","02","2006-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"2c550cc8-7574-4cf9-b768-4c70f6bbd32d","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282673","present","","","53.38326","-0.79948","100.0","SK799880","SK","SK78","SK78Z","SK7988","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"1d8ac8e7-e511-4595-a8b6-dbfac7c11dd8","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282462","present","","","53.38324","-0.79798","100.0","SK800880","SK","SK88","SK88E","SK8088","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"1696550f-6489-4ad4-b338-bfe19b33e0d6","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282451","present","","","53.38326","-0.79948","100.0","SK799880","SK","SK78","SK78Z","SK7988","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"16597b42-6a35-4163-ab1d-46c722f980ed","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282671","present","","","53.38324","-0.79798","100.0","SK800880","SK","SK88","SK88E","SK8088","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"0b4234c6-779b-48ee-accc-2f3bd7f6139c","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","283187","present","","","53.19847","-1.30015","100.0","SK468670","SK","SK46","SK46T","SK4667","United Kingdom","England","Glapwell (landfill site)","","Merritt, R.","2001","02","2001-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"06fe1cf1-1aeb-402d-bb12-68b42d1dc639","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","248836","present","","","51.80011","-0.00806","100.0","TL374131","TL","TL31","TL31R","TL3713","United Kingdom","England","Amwell Quarry, north","","Brooke, S.; Nau, B.","2006","02","2006-02-11","","","","dr1418","Aquatic Heteroptera Dataset"
"06aac2a9-d84c-4c6e-b467-de08e16d2dd5","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297606","present","","","56.07247","-3.26662","100.0","NT212873","NT","NT28","NT28D","NT2187","United Kingdom","Scotland","Dunearn Loch","","Huxley, T.","2003","02","2003-02-27","","","","dr1418","Aquatic Heteroptera Dataset"
"f5abfa4e-c2ef-4944-876d-a8ea731a6a32","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","279750","present","","","51.66204","-0.20065","100.0","TQ245974","TQ","TQ29","TQ29N","TQ2497","United Kingdom","England","Hadley Green","","Lansbury, I.F.L.","1953","03","1953-03-09","","","","dr1418","Aquatic Heteroptera Dataset"
"f560eb3a-bfe1-425a-a22e-2d7de24687ad","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296420","present","","","56.25656","-3.08868","100.0","NO326076","NO","NO30","NO30I","NO3207","United Kingdom","Scotland","Coaltown of Burnturk, quarry pond","","Huxley, T.","2003","03","2003-03-20","","","","dr1418","Aquatic Heteroptera Dataset"
"f4ee2516-14bf-44f9-a3ff-b068383836e7","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282592","present","","","53.07018","-0.86642","100.0","SK760531","SK","SK75","SK75R","SK7653","United Kingdom","England","Staythorpe","","Merritt, R.","1999","03","1999-03-14","","","","dr1418","Aquatic Heteroptera Dataset"
