x,y,species cloglog values
709.0,709.0,0.14966713
710.0,710.0,0.3730198
711.0,711.0,0.78648806
712.0,712.0,0.2871215
713.0,713.0,0.34562287
714.0,714.0,0.89535964
715.0,715.0,0.003962865
716.0,716.0,0.030543394
717.0,717.0,0.097241394
718.0,718.0,0.10218241
719.0,719.0,0.5163971
720.0,720.0,0.4822997
721.0,721.0,0.6534309
722.0,722.0,0.4749947
723.0,723.0,0.1384123
724.0,724.0,0.3266276
725.0,725.0,0.20476286
726.0,726.0,0.0023537492
727.0,727.0,0.04107708
728.0,728.0,0.20374732
729.0,729.0,0.021030279
730.0,730.0,0.117766045
731.0,731.0,0.33250883
732.0,732.0,0.42225528
733.0,733.0,0.001687689
734.0,734.0,0.005615954
735.0,735.0,0.17303179
736.0,736.0,0.50618345
737.0,737.0,0.407553
738.0,738.0,0.09170958
739.0,739.0,0.6089622
740.0,740.0,0.001962544
741.0,741.0,0.0017536533
742.0,742.0,2.8698498E-4
743.0,743.0,0.09597429
744.0,744.0,0.018109154
745.0,745.0,3.549754E-4
746.0,746.0,0.8977735
747.0,747.0,0.16815545
748.0,748.0,0.45192748
749.0,749.0,0.52523476
750.0,750.0,0.05572881
751.0,751.0,0.09428354
752.0,752.0,0.80029005
753.0,753.0,0.848168
754.0,754.0,0.8702399
755.0,755.0,0.0798019
756.0,756.0,0.78867
757.0,757.0,0.40136293
758.0,758.0,0.37599957
759.0,759.0,0.0024950723
760.0,760.0,0.12725817
761.0,761.0,0.9421396
762.0,762.0,0.21755952
763.0,763.0,0.6137711
764.0,764.0,0.7073215
765.0,765.0,0.22614539
766.0,766.0,0.46511734
767.0,767.0,0.28864333
768.0,768.0,0.13026844
769.0,769.0,0.1789948
770.0,770.0,0.021130163
771.0,771.0,0.1822938
772.0,772.0,0.38093513
773.0,773.0,0.36465463
774.0,774.0,0.0289047
775.0,775.0,6.8877975E-4
776.0,776.0,0.014725078
777.0,777.0,0.43734652
778.0,778.0,0.65105915
779.0,779.0,0.78766376
780.0,780.0,0.09786387
781.0,781.0,0.7018565
782.0,782.0,0.17966758
783.0,783.0,0.26811633
784.0,784.0,0.63260317
785.0,785.0,0.4170116
786.0,786.0,0.0043132687
787.0,787.0,0.29412118
788.0,788.0,0.15023398
789.0,789.0,0.91764593
790.0,790.0,0.012974613
791.0,791.0,0.04071995
792.0,792.0,0.82430243
793.0,793.0,0.17307082
794.0,794.0,0.008884519
795.0,795.0,0.29669324
796.0,796.0,0.24790744
797.0,797.0,0.81677526
798.0,798.0,0.04206326
799.0,799.0,0.19651106
800.0,800.0,0.067581765
801.0,801.0,0.5019158
802.0,802.0,0.8089144
803.0,803.0,0.2750127
804.0,804.0,0.4490881
805.0,805.0,0.03556171
806.0,806.0,0.0034958099
807.0,807.0,0.3462524
808.0,808.0,0.85280156
809.0,809.0,0.84920526
810.0,810.0,0.5872537
811.0,811.0,0.839488
812.0,812.0,0.18568364
813.0,813.0,4.3907168E-4
814.0,814.0,0.8431802
815.0,815.0,0.015962627
816.0,816.0,0.033126116
817.0,817.0,0.32580417
818.0,818.0,0.009518879
819.0,819.0,0.12982789
820.0,820.0,0.018234586
821.0,821.0,0.08481453
822.0,822.0,0.5993247
823.0,823.0,0.39416522
824.0,824.0,0.015842916
825.0,825.0,0.058662754
826.0,826.0,0.8970076
827.0,827.0,0.011359254
828.0,828.0,0.39734915
829.0,829.0,6.7469437E-4
830.0,830.0,0.9331919
831.0,831.0,0.21390161
832.0,832.0,0.11850674
833.0,833.0,0.001153987
834.0,834.0,0.4263001
835.0,835.0,0.5379183
836.0,836.0,0.077967785
837.0,837.0,0.6315049
838.0,838.0,0.038850546
839.0,839.0,0.54585254
840.0,840.0,0.30016094
841.0,841.0,0.1462476
842.0,842.0,0.6166882
843.0,843.0,0.42811367
844.0,844.0,0.6516687
845.0,845.0,0.30558485
846.0,846.0,0.7192366
847.0,847.0,0.13872197
848.0,848.0,0.011233315
849.0,849.0,0.49085656
850.0,850.0,0.40960696
851.0,851.0,0.8052392
852.0,852.0,0.62166
853.0,853.0,0.0017212752
854.0,854.0,0.015490411
855.0,855.0,0.43509388
856.0,856.0,0.30635363
857.0,857.0,0.0022235129
858.0,858.0,0.5384269
859.0,859.0,0.27088022
860.0,860.0,0.49074078
861.0,861.0,0.015427186
862.0,862.0,0.13175626
863.0,863.0,0.37419316
864.0,864.0,0.9258091
865.0,865.0,0.0015697343
866.0,866.0,5.101107E-4
867.0,867.0,0.25693104
868.0,868.0,0.023285642
869.0,869.0,0.14869088
870.0,870.0,0.7985903
871.0,871.0,0.1981996
872.0,872.0,0.20648661
873.0,873.0,0.19929944
874.0,874.0,0.06510913
875.0,875.0,0.30066076
876.0,876.0,0.10176698
877.0,877.0,0.1637461
878.0,878.0,0.24028447
879.0,879.0,0.0847143
880.0,880.0,0.13550869
881.0,881.0,0.7230749
882.0,882.0,0.19253401
883.0,883.0,0.31279057
884.0,884.0,0.7942396
885.0,885.0,0.6373927
886.0,886.0,0.20969433
887.0,887.0,0.006601597
888.0,888.0,0.043099236
889.0,889.0,0.562756
890.0,890.0,0.5135328
891.0,891.0,0.33325735
892.0,892.0,0.10482968
893.0,893.0,0.5243521
894.0,894.0,0.0047593024
895.0,895.0,0.6985638
896.0,896.0,0.73764455
897.0,897.0,0.4623382
898.0,898.0,0.3028951
899.0,899.0,0.018089626
900.0,900.0,0.021496821
901.0,901.0,0.27469397
902.0,902.0,0.005377114
903.0,903.0,0.20630866
904.0,904.0,0.6591656
905.0,905.0,0.03560081
906.0,906.0,0.25604907
907.0,907.0,0.41314468
908.0,908.0,0.91116726
909.0,909.0,0.22982568
910.0,910.0,0.17481813
911.0,911.0,0.13394883
912.0,912.0,0.42502812
913.0,913.0,0.017247312
914.0,914.0,0.49301365
915.0,915.0,0.07019376
916.0,916.0,0.319912
917.0,917.0,0.46408376
918.0,918.0,0.9285537
919.0,919.0,0.74487776
920.0,920.0,0.007304017
921.0,921.0,0.0021254194
922.0,922.0,0.72339183
923.0,923.0,0.15856397
924.0,924.0,0.7199266
925.0,925.0,0.24575533
926.0,926.0,0.2060481
927.0,927.0,0.008335595
928.0,928.0,0.003288029
929.0,929.0,0.18998837
930.0,930.0,0.18890905
931.0,931.0,0.87554884
932.0,932.0,0.2686465
933.0,933.0,0.59602714
934.0,934.0,0.14499332
935.0,935.0,0.27227664
936.0,936.0,0.12559031
937.0,937.0,0.04826444
938.0,938.0,0.026902255
939.0,939.0,0.8398188
940.0,940.0,0.09453737
941.0,941.0,0.5479436
942.0,942.0,0.08077783
943.0,943.0,0.108824
944.0,944.0,0.30574775
945.0,945.0,0.007063536
946.0,946.0,0.5272512
947.0,947.0,0.18886453
948.0,948.0,0.02705026
949.0,949.0,0.8020048
950.0,950.0,0.014483552
951.0,951.0,0.25772104
952.0,952.0,0.17116109
953.0,953.0,0.6412752
954.0,954.0,0.54262114
955.0,955.0,5.774054E-4
956.0,956.0,0.14131722
957.0,957.0,0.014674611
958.0,958.0,0.006523753
959.0,959.0,0.3895224
960.0,960.0,0.41652542
961.0,961.0,0.8674929
962.0,962.0,0.23274586
963.0,963.0,0.05300697
964.0,964.0,0.0040116175
965.0,965.0,0.42951295
966.0,966.0,0.15746637
967.0,967.0,0.76260555
968.0,968.0,0.36357537
969.0,969.0,0.9412916
970.0,970.0,0.014701513
971.0,971.0,0.62445253
972.0,972.0,0.09974934
973.0,973.0,0.85788023
974.0,974.0,0.005320146
975.0,975.0,0.82892656
976.0,976.0,0.4792938
977.0,977.0,0.022043906
978.0,978.0,0.8031124
979.0,979.0,0.49632394
980.0,980.0,0.6977706
981.0,981.0,0.07805209
982.0,982.0,0.08144297
983.0,983.0,0.20151944
984.0,984.0,0.5543319
985.0,985.0,0.48564863
986.0,986.0,0.2686034
987.0,987.0,0.33404246
988.0,988.0,0.77880985
989.0,989.0,0.028995465
990.0,990.0,0.39198938
991.0,991.0,0.23523633
